RecipientCountryCode,Year,ReportingOrgID,ReportingOrgName,ReportingOrgType,TransactionProviderID,TransactionProviderName,TransactionProviderType,checkID,ReportingOrgIDRevised,ReportingOrgNameRevised,ReportingOrgTypeRevised
MM,2022,GB-COH-1762840,HelpAge International,21,NA,WHO,NA,MM-2022-GB-COH-1762840-HelpAge International-NA-WHO,XM-DAC-928,World Health Organization (WHO),40
BD,2024,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo",15,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international",15,"BD-2024-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international",XM-DAC-301-2,Canada - International Development Research Centre/Centre de recherches pour le développement international,15
BD,2022,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo",15,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international",15,"BD-2022-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international",XM-DAC-301-2,Canada - International Development Research Centre/Centre de recherches pour le développement international,15
BD,2023,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo",15,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international",15,"BD-2023-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international",XM-DAC-301-2,Canada - International Development Research Centre/Centre de recherches pour le développement international,15
BD,2021,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo",15,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international",15,"BD-2021-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international",XM-DAC-301-2,Canada - International Development Research Centre/Centre de recherches pour le développement international,15
MM,2024,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo",15,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international",15,"MM-2024-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international",XM-DAC-301-2,Canada - International Development Research Centre/Centre de recherches pour le développement international,15
MM,2023,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo",15,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international",15,"MM-2023-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international",XM-DAC-301-2,Canada - International Development Research Centre/Centre de recherches pour le développement international,15
MM,2022,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo",15,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international",15,"MM-2022-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international",XM-DAC-301-2,Canada - International Development Research Centre/Centre de recherches pour le développement international,15
MM,2021,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo",15,XM-DAC-301-2,"International Development Research Centre, FR: Centre de recherches pour le développement international",15,"MM-2021-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international, ES: Centro Internacional de Investigaciones para el Desarrollo-XM-DAC-301-2-International Development Research Centre, FR: Centre de recherches pour le développement international",XM-DAC-301-2,Canada - International Development Research Centre/Centre de recherches pour le développement international,15
MM,2021,GB-COH-877338,The Institute of Development Studies,80,NA,The Institute of Development Studies,NA,MM-2021-GB-COH-877338-The Institute of Development Studies-NA-The Institute of Development Studies,GB-COH-877338,The Institute of Development Studies,80
MM,2022,GB-COH-877338,The Institute of Development Studies,80,NA,The Institute of Development Studies,NA,MM-2022-GB-COH-877338-The Institute of Development Studies-NA-The Institute of Development Studies,GB-COH-877338,The Institute of Development Studies,80
MM,2021,GB-COH-877338,The Institute of Development Studies,80,NA,"
",NA,"MM-2021-GB-COH-877338-The Institute of Development Studies-NA-
",GB-COH-877338,The Institute of Development Studies,80
BD,2021,XM-DAC-41302,International Labour Organization (ILO),40,NA,International Labour Organization (ILO),NA,BD-2021-XM-DAC-41302-International Labour Organization (ILO)-NA-International Labour Organization (ILO),XM-DAC-41302,International Labour Organization (ILO),40
BD,2024,XM-DAC-46004,Asian Development Bank,40,NA,Asian Development Bank,NA,BD-2024-XM-DAC-46004-Asian Development Bank-NA-Asian Development Bank,XM-DAC-46004,Asian Development Bank,40
BD,2023,XM-DAC-46004,Asian Development Bank,40,NA,Asian Development Bank,NA,BD-2023-XM-DAC-46004-Asian Development Bank-NA-Asian Development Bank,XM-DAC-46004,Asian Development Bank,40
BD,2021,XM-DAC-46004,Asian Development Bank,40,NA,Asian Development Bank,NA,BD-2021-XM-DAC-46004-Asian Development Bank-NA-Asian Development Bank,XM-DAC-46004,Asian Development Bank,40
BD,2022,XM-DAC-46004,Asian Development Bank,40,NA,Asian Development Bank,NA,BD-2022-XM-DAC-46004-Asian Development Bank-NA-Asian Development Bank,XM-DAC-46004,Asian Development Bank,40
MM,2023,XM-DAC-46004,Asian Development Bank,40,NA,Asian Development Bank,NA,MM-2023-XM-DAC-46004-Asian Development Bank-NA-Asian Development Bank,XM-DAC-46004,Asian Development Bank,40
MM,2022,XM-DAC-46004,Asian Development Bank,40,NA,Asian Development Bank,NA,MM-2022-XM-DAC-46004-Asian Development Bank-NA-Asian Development Bank,XM-DAC-46004,Asian Development Bank,40
MM,2021,XM-DAC-46004,Asian Development Bank,40,NA,Asian Development Bank,NA,MM-2021-XM-DAC-46004-Asian Development Bank-NA-Asian Development Bank,XM-DAC-46004,Asian Development Bank,40
MM,2024,XM-DAC-46004,Asian Development Bank,40,NA,Asian Development Bank,NA,MM-2024-XM-DAC-46004-Asian Development Bank-NA-Asian Development Bank,XM-DAC-46004,Asian Development Bank,40
BD,2023,XM-DAC-7,Ministry of Foreign Affairs of the Netherlands,10,XM-DAC-7,Ministry of Foreign Affairs of the Netherlands,NA,BD-2023-XM-DAC-7-Ministry of Foreign Affairs of the Netherlands-XM-DAC-7-Ministry of Foreign Affairs of the Netherlands,XM-DAC-7,Netherlands - Ministry of Foreign Affairs,10
BD,2022,XM-DAC-7,Ministry of Foreign Affairs of the Netherlands,10,XM-DAC-7,Ministry of Foreign Affairs of the Netherlands,NA,BD-2022-XM-DAC-7-Ministry of Foreign Affairs of the Netherlands-XM-DAC-7-Ministry of Foreign Affairs of the Netherlands,XM-DAC-7,Netherlands - Ministry of Foreign Affairs,11
BD,2021,XM-DAC-7,Ministry of Foreign Affairs of the Netherlands,10,XM-DAC-7,Ministry of Foreign Affairs of the Netherlands,NA,BD-2021-XM-DAC-7-Ministry of Foreign Affairs of the Netherlands-XM-DAC-7-Ministry of Foreign Affairs of the Netherlands,XM-DAC-7,Netherlands - Ministry of Foreign Affairs,12
MM,2021,GB-CHC-000391,The Open University,80,GB-CHC-000391,The OU,80,MM-2021-GB-CHC-000391-The Open University-GB-CHC-000391-The OU,GB-CHC-000391,The Open University,80
BD,2023,GB-CHC-000391,The Open University,80,GB-CHC-000391,The Open University ,80,BD-2023-GB-CHC-000391-The Open University-GB-CHC-000391-The Open University ,GB-CHC-000391,The Open University,80
BD,2022,GB-CHC-000391,The Open University,80,GB-CHC-000391,The OU,80,BD-2022-GB-CHC-000391-The Open University-GB-CHC-000391-The OU,GB-CHC-000391,The Open University,80
BD,2024,GB-CHC-000391,The Open University,80,GB-CHC-000391,The Open University ,80,BD-2024-GB-CHC-000391-The Open University-GB-CHC-000391-The Open University ,GB-CHC-000391,The Open University,80
BD,2024,GB-CHC-000391,The Open University,80,GB-CHC-000391,The OU,80,BD-2024-GB-CHC-000391-The Open University-GB-CHC-000391-The OU,GB-CHC-000391,The Open University,80
BD,2024,GB-CHC-000391,The Open University,80,GB-CHC-0003911,The Open University ,80,BD-2024-GB-CHC-000391-The Open University-GB-CHC-0003911-The Open University ,GB-CHC-000391,The Open University,80
BD,2023,GB-CHC-000391,The Open University,80,GB-CHC-000391,The OU,80,BD-2023-GB-CHC-000391-The Open University-GB-CHC-000391-The OU,GB-CHC-000391,The Open University,80
BD,2022,GB-CHC-000391,The Open University,80,GB-CHC-000391,The OU ,80,BD-2022-GB-CHC-000391-The Open University-GB-CHC-000391-The OU ,GB-CHC-000391,The Open University,80
MM,2021,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,NA,MM-2021-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10
MM,2022,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,NA,MM-2022-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10
